Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M1_IP3.bam
YDR211W	66
YDR110W	24
tG(CCC)D	0
YDR274C	0
YDR167W	20
YDR156W	9
YDL223C	3
YDR075W	6
YDR039C	20
YDL088C	17
YDL129W	5
YDL215C	30
YDR297W	65
YDR131C	3
YDR230W	1
YDR348C	27
YDL169C	2
YDR007W	0
YDL195W	145
YDR263C	3
YDR220C	0
YDR429C	307
YDR119W-A	1
YDR421W	10
YDL186W	0
YDL198C	80
YDL120W	20
YDR379W	10
YDL029W	137
YDR205W	7
YDR094W	0
YDR369C	11
YDR088C	7
YDR411C	27
YDR441C	14
YDR446W	1
YDL183C	4
YDR194W-A	0
YDR114C	1
YDR442W	0
tK(CUU)D2	0
YDL059C	3
YDR016C	0
YDR430C	36
YDR366C	0
YDR374W-A	1
YDR293C	48
YDR459C	4
YDR022C	5
YDR217C	10
YDR052C	14
YDL027C	16
YDR104C	7
YDL136W	302
YDR248C	10
YDR078C	5
YDR068W	9
YDL080C	25
YDR461C-A	1
YDR252W	1
YDL046W	35
YDR540C	3
YDR181C	14
YDL200C	4
YDR108W	10
YDR337W	29
YDR356W	19
YDL235C	39
YDR320W-B	0
YDL245C	0
YDR170W-A	9
YDR210W-B	31
YDR210C-D	79
YDR316W-B	101
YDR261C-D	110
YDR210C-C	0
YDR261C-C	0
YDR261W-B	29
YDR365W-A	0
YDR316W-A	0
YDR261W-A	0
YDR365W-B	87
YDR098C-B	73
YDR098C-A	0
YDR210W-A	0
YDR034C-D	42
YDR034C-C	0
YOR185C	11
YOR237W	0
YOL048C	8
tG(GCC)O1	0
YOL144W	6
snR8	232
YOR082C	1
YOL072W	7
YOR114W	4
YOL085C	0
YOR385W	11
YOR214C	0
YOL119C	6
YOR019W	2
YOR206W	50
YOR345C	1
YOR341W	317
YOL088C	33
YOR392W	0
YOR160W	20
YOR084W	10
YOR039W	34
YOR264W	31
YOR281C	29
tK(UUU)O	0
YOR230W	253
YOR144C	3
YOL081W	53
YOL052C	28
YOR285W	43
YOR058C	13
YOR270C	169
YOL154W	1
YOR115C	40
YOL003C	13
YOR258W	8
tN(GUU)O2	0
YOL103W	38
YOR215C	13
YOL095C	9
YOL063C	20
YOL079W	0
YOR389W	3
YOR231W	16
YOR021C	67
YOR139C	0
YOR120W	4
YOL038W	120
YOR023C	4
YOL124C	39
YOR212W	88
YOL013W-A	0
YOL120C	1423
YOR181W	9
YOR333C	0
YOR335C	289
YOL046C	1
YOL029C	8
YOL155W-A	1
YOR072W	0
YOL161C	0
snR58	1
YOL122C	13
YOR252W	23
YOR157C	67
YOL107W	5
YOR274W	6
YOL013W-B	0
YOR343C	0
YOR093C	20
YOR381W-A	0
YOL065C	15
YOR092W	14
YOR207C	80
YOR365C	1
YOL005C	36
YOL020W	29
YOL053W	12
YOL117W	3
YOR038C	22
YOR303W	33
YOR137C	12
YOL034W	12
YOR052C	45
YOR190W	1
YOL039W	556
YOR349W	3
YOL090W	45
YOR271C	121
YOR173W	1
YOR106W	12
YOR108W	155
YOR059C	11
YOL149W	21
YOR121C	10
YOL106W	0
snR9	80
YOR295W	4
YOR203W	0
YOR132W	26
YOR216C	19
YOR099W	114
YOR001W	48
YOR009W	0
YOR204W	164
YOR209C	113
YOR284W	2
YOR036W	6
YOR154W	18
YOR048C	65
YOL073C	19
YOL152W	8
YOL101C	6
YOR085W	33
YOR227W	7
YOR159C	17
YOR146W	4
YOR372C	11
YOR112W	17
YOR387C	0
YOR229W	32
YOR068C	0
YOR376W-A	1
YOL050C	1
YOR342C	24
YOL035C	1
YOR251C	45
YOR041C	0
YOR130C	23
YOR119C	16
YOL166C	0
YOR008C	33
YOL011W	42
YOR248W	0
YOR202W	0
YOR266W	7
YOR140W	6
YOR004W	45
YOR308C	7
YOR032C	0
YOR311C	27
YOL019W	11
YOL138C	15
YOL151W	22
YOR330C	15
YOR379C	0
YOR142W	88
YOR268C	0
snR81	53
YOR017W	15
YOR394W	0
YOL134C	0
YOR002W	28
YOR194C	15
YOR298C-A	310
YOL069W	14
YOR014W	19
YOR346W	28
YOR044W	7
YOR275C	16
YOR174W	12
YOR336W	31
YOL094C	37
YOR122C	131
YOR256C	11
YOL137W	6
YOR350C	8
YOR196C	20
YOR380W	7
YOR314W-A	0
tA(UGC)O	0
YOL097W-A	2
YOR376W	0
YOR369C	3009
YOL132W	0
YOR296W	14
YOR260W	63
YOR373W	7
YOR163W	10
YOR029W	0
YOL042W	9
YOR316C	22
YOR326W	111
YOR293C-A	0
YOL036W	22
YOR072W-B	0
YOR332W	346
YOL002C	36
YOR193W	13
YOR243C	77
YOR126C	8
YOR070C	5
YOR328W	4
YOL056W	24
YOR098C	32
YOL110W	6
YOR213C	17
YOR253W	38
YOR008C-A	0
YOL113W	10
YOR060C	5
YOL076W	36
YOR186C-A	1
YOR381W	6
YOR113W	9
YOR273C	26
tN(GUU)O1	0
YOR161W-A	0
YOL147C	11
YOR338W	4
YOR178C	2
YOR188W	12
YOL159C	8
YOR382W	0
YOL071W	3
YOR363C	7
YOR069W	15
YOR075W	22
YOR124C	29
YOR008W-B	0
snR31	175
YOL025W	4
YOR057W	29
YOR265W	11
YOL127W	912
YOR107W	15
YOL142W	25
YOR239W	43
YOL091W	0
YOR317W	41
YOR370C	77
tM(CAU)O1	0
YOR211C	9
YOR191W	14
YOL064C	37
tT(AGU)O1	0
YOL049W	86
YOL043C	4
YOR043W	25
YOR331C	14
YOR309C	12
YOR104W	3
YOL114C	1
YOR300W	0
YOR220W	20
YOR378W	2
YOL059W	53
YOR386W	5
YOL027C	38
