Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M12_IN3.bam
YOL080C	80
YOR161W-B	0
tY(GUA)O	0
YOR136W	256
tR(ACG)O	0
YOR192C-C	2
YOR205C	17
YOR200W	0
YOR305W	29
YOR195W	166
YOL123W	349
YOR097C	25
YOL083C-A	0
YOL086W-A	20
YOR337W	26
YOL100W	32
YOR289W	14
YOR255W	1
YOR304W	154
YOL163W	1
YOR077W	8
YOR074C	7
YOR117W	406
YOR055W	0
YOL166W-A	0
YOL066C	74
YOR396W	80
YOR161C-C	0
tV(AAC)O	0
YOR151C	1334
YOR187W	381
YOL001W	12
YOR005C	34
YOR199W	0
YOR355W	45
YOR290C	68
YOR396C-A	1
YOR047C	60
YOL014W	30
YOR244W	104
YOL102C	55
YOL060C	6
YOL041C	258
YOL116W	40
YOR353C	115
YOR299W	109
YOR366W	2
tD(GUC)O	0
YOR096W	3566
YOR148C	21
YOR301W	14
YOR257W	38
YOR135C	0
YOR032W-A	0
YOR223W	6
YOR076C	68
YOR231C-A	0
YOR316C-A	1
tS(GCU)O	1
YOR061W	196
YOR025W	37
YOR371C	57
YOL140W	20
YOL062C	158
YOR292C	35
tG(UCC)O	1
YOR027W	385
tT(AGU)O2	0
YOR142W-B	226
YOR192C-A	0
YOL103W-B	314
YOR142W-A	0
YOR192C-B	119
YOR343W-B	138
YOR343W-A	0
YOL103W-A	0
YGL087C	12
YGL156W	18
YGL015C	0
RME2	4
YGR251W	20
YGR162W	1225
tK(UUU)G2	0
YGR005C	85
YGL160W	74
snR46	617
tD(GUC)G1	1
YGL211W	128
YGR141W	95
YGL239C	0
YGL097W	470
YGR030C	13
YGR224W	0
YGR142W	95
YGR186W	246
YGR181W	3
YGL081W	0
YGR082W	3
YGL028C	37
YGL021W	124
YGL110C	81
YGR167W	35
YGL017W	51
tA(UGC)G	0
YGR156W	4
YGR291C	0
YGR197C	14
YGR041W	22
YGL079W	7
YGL107C	53
YGL168W	4
YGL228W	246
YGR183C	15
YGL050W	44
YGR273C	0
YGR086C	411
YGR228W	3
YGL145W	91
YGR098C	187
YGR074W	33
YGL098W	13
snR7-S	0
YGL096W	8
YGR240C-A	0
YGR172C	43
YGR194C	38
YGL026C	195
YGL213C	80
YGL248W	55
YGL075C	29
YGL256W	28
YGL012W	655
YGL082W	115
YGR161C	1
tW(CCA)G1	1
YGR274C	162
YGR031C-A	1
YGL037C	177
YGL252C	174
YGL250W	7
YGR260W	370
YGR159C	940
YGR006W	1
YGL121C	1
YGL040C	56
YGR130C	79
YGR021W	40
YGR097W	15
YGL170C	2
YGL166W	29
YGL104C	47
YGR149W	7
YGR195W	92
tG(GCC)G2	0
YGR250C	223
YGL155W	53
YGL216W	23
YGR029W	53
YGL125W	6
YGR038W	19
YGR008C	35
YGR248W	4
YGL094C	237
YGR131W	3
YGR163W	26
YGR125W	143
YGR279C	121
YGL022W	520
tD(GUC)G2	0
YGR271W	167
YGL025C	1
YGL176C	30
YGR031W	45
YGL102C	169
YGR182C	21
YGR025W	0
YGL113W	47
YGR188C	36
YGL162W	1
YGL084C	86
snR10	7
YGL196W	104
RME3	9
YGR230W	7
YGR084C	48
YGL222C	4
YGR166W	32
YGR122C-A	0
YGR152C	38
YGL210W	37
YGR265W	2
YGR157W	508
YGL240W	7
YGR085C	1448
YGR237C	27
YGL146C	0
YGL153W	35
YGR075C	11
tT(UGU)G2	0
YGL169W	95
YGR187C	170
YGL167C	522
YGR050C	5
YGR035W-A	1
YGR217W	179
YGR068C	6
YGR296W	64
YGR177C	40
YGL068W	191
tN(GUU)G	0
YGL018C	1
YGL188C	14
YGR126W	1
YGL065C	48
YGL014W	78
YGL100W	157
YGR288W	11
YGL174W	1
YGR211W	315
YGL204C	7
YGR270W	179
YGR204W	209
YGR266W	93
YGL070C	41
YGL225W	404
YGL120C	297
tE(UUC)G1	0
YGR252W	45
