Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IN3.bam
YDL102W	37
YDL179W	3
YDL067C	10
YDR030C	2
YDR020C	7
YDR527W	11
YDR333C	58
YDL093W	37
YDL043C	11
YDR139C	8
YDR322C-A	7
YDL130W-A	1
YDR210W	18
YDR260C	6
YDL017W	18
YDR073W	2
YDL069C	1
YDR455C	0
YDR461W	0
YDR435C	14
YDL063C	89
YDR121W	7
YDR178W	9
YDL013W	11
YDR534C	0
YDR392W	2
YDR034C-A	0
YDL132W	36
YDR535C	0
YDR202C	9
YDL050C	2
YDR524C-A	0
YDL109C	2
YDR211W	109
YDR110W	15
tG(CCC)D	0
YDR274C	1
YDR167W	7
YDR156W	1
YDL223C	0
YDR075W	6
YDR039C	171
YDL088C	10
YDL129W	6
YDL215C	38
YDR297W	88
YDR131C	7
YDR230W	1
YDR348C	8
YDL169C	0
YDR007W	0
YDL195W	148
YDR263C	3
YDR220C	0
YDR429C	91
YDR119W-A	1
YDR421W	11
YDL186W	0
YDL198C	65
YDL120W	8
YDR379W	8
YDL029W	140
YDR205W	19
YDR094W	0
YDR369C	8
YDR088C	2
YDR411C	25
YDR441C	16
YDR446W	0
YDL183C	2
YDR194W-A	0
YDR114C	0
YDR442W	0
tK(CUU)D2	0
YDL059C	5
YDR016C	10
YDR430C	49
YDR366C	1
YDR374W-A	4
YDR293C	39
YDR459C	15
YDR022C	2
YDR217C	15
YDR052C	10
YDL027C	3
YDR104C	14
YDL136W	526
YDR248C	6
YDR078C	3
YDR068W	9
YDL080C	16
YDR461C-A	2
YDR252W	0
YDL046W	25
YDR540C	0
YDR181C	5
YDL200C	3
YDR108W	17
YDR337W	9
YDR356W	18
YDL235C	22
YDR320W-B	0
YDL245C	1
YDR170W-A	9
YDR210W-B	16
YDR210C-D	41
YDR316W-B	46
YDR261C-D	76
YDR210C-C	0
YDR261C-C	0
YDR261W-B	16
YDR365W-A	0
YDR316W-A	0
YDR261W-A	0
YDR365W-B	66
YDR098C-B	38
YDR098C-A	0
YDR210W-A	0
YDR034C-D	19
YDR034C-C	0
YOR185C	3
YOR237W	0
YOL048C	10
tG(GCC)O1	0
YOL144W	7
snR8	1364
YOR082C	0
YOL072W	10
YOR114W	2
YOL085C	0
YOR385W	4
YOR214C	0
YOL119C	28
YOR019W	0
YOR206W	69
YOR345C	1
YOR341W	765
YOL088C	26
YOR392W	0
YOR160W	33
YOR084W	10
YOR039W	28
YOR264W	12
YOR281C	16
tK(UUU)O	1
YOR230W	217
YOR144C	5
YOL081W	153
YOL052C	26
YOR285W	112
YOR058C	14
YOR270C	1037
YOL154W	3
YOR115C	31
YOL003C	21
YOR258W	4
tN(GUU)O2	0
YOL103W	74
YOR215C	7
YOL095C	4
YOL063C	19
YOL079W	0
YOR389W	2
YOR231W	10
YOR021C	71
YOR139C	0
YOR120W	4
YOL038W	67
YOR023C	1
YOL124C	42
YOR212W	45
YOL013W-A	4
YOL120C	3556
YOR181W	2
YOR333C	0
YOR335C	702
YOL046C	0
YOL029C	3
YOL155W-A	0
YOR072W	1
YOL161C	0
snR58	3
YOL122C	37
YOR252W	0
YOR157C	13
YOL107W	4
YOR274W	9
YOL013W-B	0
YOR343C	0
YOR093C	49
YOR381W-A	0
YOL065C	13
YOR092W	25
YOR207C	140
YOR365C	0
YOL005C	20
YOL020W	122
YOL053W	16
YOL117W	3
YOR038C	14
YOR303W	30
YOR137C	5
YOL034W	8
YOR052C	15
YOR190W	1
YOL039W	1142
YOR349W	5
YOL090W	68
YOR271C	46
YOR173W	2
YOR106W	1
YOR108W	184
YOR059C	14
YOL149W	12
YOR121C	8
YOL106W	0
snR9	937
YOR295W	8
YOR203W	0
YOR132W	13
YOR216C	10
YOR099W	362
YOR001W	45
YOR009W	0
YOR204W	284
YOR209C	113
YOR284W	3
YOR036W	2
YOR154W	13
YOR048C	75
YOL073C	21
YOL152W	20
YOL101C	2
YOR085W	15
YOR227W	16
YOR159C	4
YOR146W	3
YOR372C	4
YOR112W	21
YOR387C	0
YOR229W	30
YOR068C	0
YOR376W-A	3
YOL050C	0
YOR342C	6
YOL035C	0
YOR251C	60
YOR041C	1
YOR130C	18
YOR119C	25
YOL166C	0
YOR008C	20
YOL011W	83
YOR248W	0
YOR202W	0
YOR266W	9
YOR140W	3
YOR004W	30
YOR308C	0
YOR032C	0
YOR311C	42
YOL019W	19
YOL138C	14
YOL151W	35
YOR330C	33
YOR379C	3
YOR142W	101
YOR268C	0
snR81	227
YOR017W	19
YOR394W	0
YOL134C	0
YOR002W	52
YOR194C	2
YOR298C-A	393
YOL069W	5
YOR014W	21
YOR346W	31
YOR044W	3
YOR275C	9
YOR174W	10
YOR336W	50
YOL094C	10
YOR122C	183
YOR256C	33
YOL137W	12
YOR350C	12
YOR196C	30
YOR380W	2
YOR314W-A	0
tA(UGC)O	0
YOL097W-A	2
YOR376W	0
YOR369C	7402
YOL132W	1
YOR296W	16
YOR260W	37
YOR373W	12
YOR163W	7
YOR029W	0
YOL042W	15
YOR316C	44
YOR326W	186
YOR293C-A	0
YOL036W	12
YOR072W-B	0
YOR332W	187
YOL002C	50
YOR193W	5
YOR243C	109
YOR126C	7
YOR070C	9
YOR328W	28
YOL056W	9
YOR098C	23
YOL110W	17
YOR213C	8
YOR253W	62
YOR008C-A	0
YOL113W	8
YOR060C	6
YOL076W	69
YOR186C-A	5
YOR381W	24
YOR113W	2
YOR273C	25
tN(GUU)O1	0
YOR161W-A	1
YOL147C	7
YOR338W	1
YOR178C	2
YOR188W	8
YOL159C	8
YOR382W	0
YOL071W	2
YOR363C	6
YOR069W	21
YOR075W	2
YOR124C	44
YOR008W-B	0
snR31	2129
YOL025W	4
YOR057W	17
YOR265W	6
YOL127W	2867
YOR107W	2
YOL142W	28
YOR239W	35
YOL091W	1
YOR317W	76
YOR370C	53
