Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IP2.bam
YOL123W	175
YOR097C	16
YOL083C-A	0
YOL086W-A	10
YOR337W	35
YOL100W	28
YOR289W	4
YOR255W	0
YOR304W	39
YOL163W	0
YOR077W	9
YOR074C	28
YOR117W	102
YOR055W	0
YOL166W-A	0
YOL066C	25
YOR396W	38
YOR161C-C	1
tV(AAC)O	0
YOR151C	290
YOR187W	190
YOL001W	16
YOR005C	11
YOR199W	1
YOR355W	103
YOR290C	57
YOR396C-A	0
YOR047C	63
YOL014W	24
YOR244W	18
YOL102C	32
YOL060C	12
YOL041C	94
YOL116W	15
YOR353C	23
YOR299W	38
YOR366W	1
tD(GUC)O	0
YOR096W	2646
YOR148C	6
YOR301W	33
YOR257W	5
YOR135C	0
YOR032W-A	0
YOR223W	3
YOR076C	29
YOR231C-A	0
YOR316C-A	2
tS(GCU)O	0
YOR061W	103
YOR025W	44
YOR371C	28
YOL140W	31
YOL062C	42
YOR292C	6
tG(UCC)O	0
YOR027W	220
tT(AGU)O2	0
YOR142W-B	241
YOR192C-A	0
YOL103W-B	297
YOR142W-A	0
YOR192C-B	62
YOR343W-B	81
YOR343W-A	0
YOL103W-A	0
YGL087C	44
YGL156W	8
YGL015C	0
RME2	11
YGR251W	12
YGR162W	297
tK(UUU)G2	0
YGR005C	23
YGL160W	9
snR46	720
tD(GUC)G1	0
YGL211W	29
YGR141W	10
YGL239C	0
YGL097W	94
YGR030C	14
YGR224W	0
YGR142W	37
YGR186W	90
YGR181W	34
YGL081W	1
YGR082W	18
YGL028C	39
YGL021W	58
YGL110C	16
YGR167W	117
YGL017W	25
tA(UGC)G	0
YGR156W	26
YGR291C	0
YGR197C	16
YGR041W	27
YGL079W	13
YGL107C	40
YGL168W	1
YGL228W	27
YGR183C	20
YGL050W	36
YGR273C	0
YGR086C	374
YGR228W	0
YGL145W	45
YGR098C	51
YGR074W	14
YGL098W	10
snR7-S	0
YGL096W	6
YGR240C-A	2
YGR172C	105
YGR194C	8
YGL026C	381
YGL213C	45
YGL248W	23
YGL075C	7
YGL256W	38
YGL012W	48
YGL082W	50
YGR161C	3
tW(CCA)G1	3
YGR274C	29
YGR031C-A	0
YGL037C	83
YGL252C	49
YGL250W	4
YGR260W	69
YGR159C	862
YGR006W	5
YGL121C	6
YGL040C	79
YGR130C	41
YGR021W	6
YGR097W	27
YGL170C	0
YGL166W	19
YGL104C	6
YGR149W	7
YGR195W	72
tG(GCC)G2	0
YGR250C	46
YGL155W	28
YGL216W	33
YGR029W	45
YGL125W	34
YGR038W	37
YGR008C	14
YGR248W	7
YGL094C	54
YGR131W	2
YGR163W	23
YGR125W	30
YGR279C	304
YGL022W	68
tD(GUC)G2	0
YGR271W	57
YGL025C	6
YGL176C	16
YGR031W	18
YGL102C	177
YGR182C	22
YGR025W	0
YGL113W	9
YGR188C	7
YGL162W	11
YGL084C	22
snR10	2
YGL196W	32
RME3	4
YGR230W	7
YGR084C	34
YGL222C	19
YGR166W	38
YGR122C-A	2
YGR152C	21
YGL210W	23
YGR265W	1
YGR157W	140
YGL240W	1
YGR085C	1390
YGR237C	26
YGL146C	1
YGL153W	10
YGR075C	7
tT(UGU)G2	2
YGL169W	50
YGR187C	65
YGL167C	68
YGR050C	2
YGR035W-A	1
YGR217W	28
YGR068C	18
YGR296W	34
YGR177C	52
YGL068W	78
tN(GUU)G	0
YGL018C	9
YGL188C	12
YGR126W	6
YGL065C	24
YGL014W	119
YGL100W	74
YGR288W	7
YGL174W	7
YGR211W	91
YGL204C	6
YGR270W	113
YGR204W	320
YGR266W	28
YGL070C	35
