Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IN2.bam
YOR309C	5
YOR104W	6
YOL114C	4
YOR300W	0
YOR220W	50
YOR378W	11
YOL059W	74
YOR386W	10
YOL027C	35
snR62	1
snR17a	24346
YOL155C	2
YOR375C	775
snR35	736
YOR100C	0
YOL026C	14
YOL012C	15
YOR026W	36
YOR359W	2
YOR250C	6
YOL013C	18
YOR272W	180
tG(GCC)O2	0
YOL164W-A	0
YOL082W	20
snR36	153
YOR035C	28
YOL016C	46
YOR007C	386
YOR325W	0
YOL085W-A	1
YOL160W	0
YOR361C	356
YOL158C	72
YOR315W	21
YOR010C	1
YOR384W	1
YOR234C	527
YOR283W	40
YOR020W-A	9
YOL045W	19
YOR102W	1
YOL128C	19
YOR360C	182
YOL097C	453
YOR164C	188
YOR175C	156
tP(UGG)O1	0
YOR086C	110
YOR242C	2
YOR155C	65
YOL019W-A	0
YOL030W	24
YOR323C	85
YOL017W	11
YOR233W	22
YOL037C	0
YOR083W	3
YOL010W	34
YOR118W	24
YOR128C	27
YOL125W	29
YOL004W	25
YOR177C	0
YOR166C	38
YOR006C	9
YOR324C	20
YOL024W	0
YOR033C	32
YOL033W	20
YOL070C	22
YOR116C	107
YOL067C	2
YOR145C	86
YOR304C-A	0
YOR192C	2
YOL109W	775
YOR078W	6
YOR134W	3
YOR131C	25
YOR368W	17
YOL111C	1
YOR168W	348
YOR226C	35
YOL162W	0
YOR334W	15
YOR241W	98
tP(UGG)O2	0
YOR245C	29
YOL009C	11
YOR153W	672
YOR358W	2
YOR335W-A	0
YOR170W	0
YOR267C	4
YOR081C	2
YOL145C	59
YOL156W	1
YOR322C	6
YOL044W	34
YOR054C	8
YOL031C	36
YOR034C-A	1
YOR306C	30
YOR261C	214
YOR293W	1075
YOR062C	7
YOR339C	1
YOR067C	94
YOR312C	1744
YOR094W	10
YOL135C	0
YOL105C	9
YOR329W-A	0
YOR197W	30
YOL104C	6
YOR262W	5
YOR167C	246
YOL015W	2
YOR161C	39
YOR393W	2
YOR105W	0
YOR210W	27
YOR364W	1
YOL087C	17
YOR127W	27
YOR184W	409
YOR150W	14
YOR179C	5
YOR340C	21
YOR354C	44
YOR217W	57
YOR298W	4
YOL006C	8
YOR259C	59
YOR318C	1
YOR320C	92
YOR222W	122
YOL165C	0
YOL007C	2
YOR307C	13
YOL051W	6
YOR091W	8
YOR079C	21
YOL022C	96
YOR278W	13
YOR024W	0
YOL148C	20
YOL078W	16
tP(UGG)O3	0
YOR089C	12
YOL098C	181
YOR171C	53
YOL089C	24
YOL150C	0
YOR095C	167
YOL146W	38
YOR224C	137
YOR302W	1
YOR286W	38
YOR046C	172
tG(CCC)O	0
YOR388C	0
YOR228C	18
YOL112W	16
YOR141C	26
YOL131W	0
YOR049C	5
YOL143C	448
YOR172W	10
YOR149C	22
YOL164W	20
YOR011W	18
YOR071C	10
YOR022C	15
YOR125C	32
YOL141W	8
YOR101W	55
YOR263C	0
YOR383C	0
YOR056C	21
YOL075C	31
YOR073W-A	0
YOR246C	138
YOR042W	5
YOR236W	8
YOR183W	0
YOR176W	95
YOR238W	13
YOR367W	7
YOR297C	5
YOR310C	199
YOR063W	8780
YOR189W	4
YOL129W	84
YOR280C	21
YOR037W	23
YOR090C	25
YOR313C	1
YOL032W	18
YOR158W	32
YOR162C	3
YOL092W	79
YOL061W	419
YOR232W	108
YOR219C	30
YOR182C	210
YOL099C	2
YOR294W	54
YOR288C	41
YOR110W	12
YOR040W	9
YOL083W	4
YOL136C	18
YOL130W	91
YOL021C	66
YOR282W	0
YOL077W-A	5
YOR319W	17
YOR030W	3
YOR291W	51
YOL077C	147
YOR390W	9
YOL052C-A	2
YOR123C	2
YOR013W	1
YOR249C	17
YOR362C	146
YOL058W	60
YOR143C	38
YOR347C	20
YOL157C	3
YOL057W	110
YOR321W	39
YOR015W	9
YOR111W	10
YOL008W	1
YOR279C	7
YOR394C-A	0
YOR180C	7
YOL055C	13
snR5	497
YOL139C	635
YOR287C	2
YOR198C	83
YOR053W	0
YOL054W	1
YOR012W	0
YOL118C	0
YOR034C	40
YOR374W	12
YOR018W	11
YOL084W	3
YOR314W	0
YOR050C	0
YOR391C	0
YOR327C	45
YOR352W	17
YOR348C	0
YOL115W	12
YOR066W	2
YOR072W-A	0
YOL096C	10
tM(CAU)O2	0
YOR020C	136
YOR133W	6048
YOR356W	52
YOR208W	4
YOR357C	49
YOR277C	2
YOR276W	245
YOR247W	0
snR50	1
YOL047C	0
YOR221C	0
YOR344C	13
YOR269W	26
YOR152C	2
YOR103C	42
YOR377W	38
YOR129C	9
YOL038C-A	1
YOR156C	1
YOR329C	9
YOR351C	0
YOL040C	61
YOL159C-A	4
YOR051C	82
YOR003W	2
YOR064C	4
YOR073W	17
YOR201C	24
YOR065W	4
YOR186W	1
YOR045W	14
YOL018C	8
YOL133W	16
YOR087W	34
YOL028C	0
YOL086C	6664
YOL108C	1
YOL023W	12
YOR011W-A	0
YOR165W	96
YOL068C	22
YOR138C	57
YOR016C	33
YOL121C	837
YOL126C	78
YOR235W	0
YOR080W	5
YOR169C	2
YOR028C	2
YOR225W	0
YOR108C-A	2
YOR109W	78
YOL093W	10
YOR147W	57
YOR218C	1
YOR254C	246
YOL080C	48
YOR161W-B	0
tY(GUA)O	0
YOR136W	107
tR(ACG)O	0
YOR192C-C	1
YOR205C	10
YOR200W	0
YOR305W	23
YOR195W	11
YOL123W	173
YOR097C	7
YOL083C-A	0
YOL086W-A	16
YOR337W	9
YOL100W	8
YOR289W	4
YOR255W	0
YOR304W	20
YOL163W	0
YOR077W	1
YOR074C	5
YOR117W	170
YOR055W	0
YOL166W-A	0
YOL066C	25
YOR396W	25
YOR161C-C	0
tV(AAC)O	1
YOR151C	267
YOR187W	296
YOL001W	13
YOR005C	13
YOR199W	0
YOR355W	21
YOR290C	8
YOR396C-A	0
YOR047C	24
YOL014W	25
YOR244W	39
YOL102C	26
YOL060C	10
YOL041C	44
YOL116W	17
YOR353C	30
YOR299W	51
YOR366W	2
tD(GUC)O	0
YOR096W	3084
YOR148C	11
YOR301W	6
YOR257W	2
YOR135C	1
YOR032W-A	0
YOR223W	5
YOR076C	21
YOR231C-A	0
YOR316C-A	0
tS(GCU)O	0
YOR061W	77
YOR025W	13
YOR371C	20
YOL140W	20
YOL062C	92
YOR292C	19
tG(UCC)O	0
